Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
EYA2,"Protein tyrosine phosphatase activity
Metal ion binding
Protein binding
Magnesium ion binding
Phosphoprotein phosphatase activity
Histone h2axy142 phosphatase activity","Multicellular organism development
Chromatin organization
Dna repair
Chromatin remodeling
Cell differentiation
Mesodermal cell fate specification
Striated muscle tissue development
Positive regulation of dna repair
Extrinsic apoptotic signaling pathway in absence of ligand
Mitochondrial outer membrane permeabilization
Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","Nucleus
Cytoplasm
Cytosol
Mitochondrion
Nucleoplasm",ENSG00000064655,EYA transcriptional coactivator and phosphatase 2,protein_coding
EYS,"Calcium ion binding
Molecular_function","Skeletal muscle tissue regeneration
Visual perception
Detection of light stimulus involved in visual perception","Cytoplasm
Extracellular region
Cell projection
Cytoskeleton
Cilium
Centrosome
Photoreceptor outer segment
Interphotoreceptor matrix
Extracellular exosome
Membrane
Cell surface",ENSG00000188107,eyes shut homolog,protein_coding
F5,"Copper ion binding
Metal ion binding
Protein binding","Blood coagulation
Blood circulation
Response to vitamin k","Extracellular region
Membrane
Plasma membrane
Endoplasmic reticulum lumen
Platelet alpha granule lumen
Extracellular vesicle
Endoplasmic reticulum-golgi intermediate compartment membrane
Copii-coated er to golgi transport vesicle
Platelet alpha granule
Extracellular space",ENSG00000198734,coagulation factor V,protein_coding
FAAH2,"Hydrolase activity
Fatty acid amide hydrolase activity","Lipid catabolic process
Arachidonic acid metabolic process","Membrane
Endomembrane system
Lipid droplet",ENSG00000165591,fatty acid amide hydrolase 2,protein_coding
FABP5,"Lipid binding
Protein binding
Identical protein binding
Fatty acid binding
Retinoic acid binding
Long-chain fatty acid transmembrane transporter activity","Lipid transport
Fatty acid transport
Glucose metabolic process
Lipid metabolic process
Phosphatidylcholine biosynthetic process
Negative regulation of glucose transmembrane transport
Regulation of prostaglandin biosynthetic process
Positive regulation of peroxisome proliferator activated receptor signaling pathway
Glucose homeostasis
Regulation of sensory perception of pain
Retrograde trans-synaptic signaling by endocannabinoid
Regulation of retrograde trans-synaptic signaling by endocanabinoid
Positive regulation of cold-induced thermogenesis
Epidermis development
Long-chain fatty acid transport
Lipid transport across blood-brain barrier","Nucleus
Cytoplasm
Extracellular region
Cytosol
Synapse
Plasma membrane
Postsynaptic density
Nucleoplasm
Extracellular exosome
Extracellular space
Glutamatergic synapse
Postsynaptic density, intracellular component
Postsynaptic cytosol
Secretory granule membrane
Azurophil granule lumen",ENSG00000164687,fatty acid binding protein 5,protein_coding
FABP5P10,,,,ENSG00000213201,fatty acid binding protein 5 pseudogene 10,processed_pseudogene
FADS1,"Oxidoreductase activity
Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
Acyl-coa delta5-desaturase activity
C-5 sterol desaturase activity
Linoleoyl-coa desaturase activity
Oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
Omega-6 fatty acid desaturase activity","Lipid metabolic process
Fatty acid biosynthetic process
Unsaturated fatty acid biosynthetic process
Regulation of dna-templated transcription
Phospholipid biosynthetic process
Cellular response to starvation
Cell-cell signaling
Alpha-linolenic acid metabolic process
Regulation of cell differentiation
Long-chain fatty acid biosynthetic process
Linoleic acid metabolic process
Icosanoid biosynthetic process","Membrane
Endoplasmic reticulum
Endoplasmic reticulum membrane
Intracellular membrane-bounded organelle
Mitochondrion",ENSG00000149485,fatty acid desaturase 1,protein_coding
FADS2,"Oxidoreductase activity
Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
Oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
Linoleoyl-coa desaturase activity
Protein binding
Stearoyl-coa 9-desaturase activity","Lipid metabolic process
Fatty acid biosynthetic process
Unsaturated fatty acid biosynthetic process
Alpha-linolenic acid metabolic process
Linoleic acid metabolic process
Arachidonic acid metabolite production involved in inflammatory response
Positive regulation of cellular response to oxidative stress","Membrane
Endoplasmic reticulum
Endoplasmic reticulum membrane
Plasma membrane",ENSG00000134824,fatty acid desaturase 2,protein_coding
FAF1,"Protein binding
Protein kinase binding
Ubiquitin binding
Heat shock protein binding
Ubiquitin protein ligase binding
Nf-kappab binding
Protein kinase regulator activity
Protein domain specific binding","Apoptotic process
Regulation of protein catabolic process
Proteasome-mediated ubiquitin-dependent protein catabolic process
Positive regulation of apoptotic process
Positive regulation of protein catabolic process
Erad pathway
Positive regulation of protein-containing complex assembly
Positive regulation of dna replication
Cytoplasmic sequestering of nf-kappab
Regulation of cell adhesion
Positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","Nucleus
Nucleoplasm
Perinuclear region of cytoplasm
Cytosol
Endoplasmic reticulum
Vcp-npl4-ufd1 aaa atpase complex
Cd95 death-inducing signaling complex
Nuclear envelope
Cytoplasm
Ooplasm
Membrane",ENSG00000185104,Fas associated factor 1,protein_coding
FAF1-AS1,,,,ENSG00000225767,FAF1 antisense RNA 1,lncRNA
FAF2P1,,,,ENSG00000228759,Fas associated factor family member 2 pseudogene 1,transcribed_processed_pseudogene
FAIM2,Protein binding,"Negative regulation of apoptotic process
Apoptotic process
Negative regulation of extrinsic apoptotic signaling pathway via death domain receptors
Cerebellum development
Cerebellar purkinje cell differentiation
Negative regulation of apoptotic signaling pathway
Regulation of neuron apoptotic process
Response to ischemia
Cerebellar purkinje cell layer development
Cerebellar granular layer development
Negative regulation of neuron apoptotic process
Neuron apoptotic process
Apoptotic signaling pathway","Plasma membrane
Synapse
Membrane raft
Postsynaptic membrane
Membrane
Endoplasmic reticulum
Golgi apparatus",ENSG00000135472,Fas apoptotic inhibitory molecule 2,protein_coding
FALEC,,,,ENSG00000228126,focally amplified long non-coding RNA in epithelial cancer,lncRNA
FAM136DP,,,,ENSG00000270587,"family with sequence similarity 136 member D, pseudogene",processed_pseudogene
FAM13A,Gtpase activator activity,"Signal transduction
Regulation of small gtpase mediated signal transduction",Cytosol,ENSG00000138640,family with sequence similarity 13 member A,protein_coding
FAM167A,Protein binding,,,ENSG00000292288,family with sequence similarity 167 member A,protein_coding
FAM174A,Protein binding,,Membrane,ENSG00000174132,family with sequence similarity 174 member A,protein_coding
FAM184B,,,,ENSG00000047662,family with sequence similarity 184 member B,protein_coding
FAM185A,Protein binding,,Mitochondrion,ENSG00000222011,family with sequence similarity 185 member A,protein_coding
FAM185BP,,,,ENSG00000214439,"family with sequence similarity 185 member B, pseudogene",transcribed_unprocessed_pseudogene
FAM225B,,,,ENSG00000225684,family with sequence similarity 225 member B,lncRNA
FAM227B,,,,ENSG00000166262,family with sequence similarity 227 member B,protein_coding
FAM234A,Molecular_function,Biological_process,"Membrane
Cell surface
Extracellular exosome",ENSG00000167930,family with sequence similarity 234 member A,protein_coding
FAM234B,Protein binding,,"Cytoplasm
Membrane
Cytoskeleton
Golgi apparatus
Microtubule organizing center",ENSG00000084444,family with sequence similarity 234 member B,protein_coding
FAM50B,Protein binding,Chromatin organization,"Nucleus
Nucleoplasm
Intercellular bridge
Midbody",ENSG00000145945,family with sequence similarity 50 member B,protein_coding
FAM86B3P,,,,ENSG00000285119,"family with sequence similarity 86 member B3, pseudogene",transcribed_unprocessed_pseudogene
FAM89B,Transcription corepressor binding,"Positive regulation of cell migration
Establishment of cell polarity
Negative regulation of transforming growth factor beta receptor signaling pathway
Negative regulation of smad protein signal transduction","Cytoplasm
Cell projection
Lamellipodium",ENSG00000176973,family with sequence similarity 89 member B,protein_coding
FAM99B,,,,ENSG00000291438,family with sequence similarity 99 member B,lncRNA
FAP,"Serine-type peptidase activity
Serine-type endopeptidase activity
Protein binding
Peptidase activity
Identical protein binding
Dipeptidyl-peptidase activity
Protein homodimerization activity
Integrin binding
Endopeptidase activity
Protease binding
Hydrolase activity","Proteolysis
Apoptotic process
Cell adhesion
Regulation of cell cycle
Angiogenesis
Proteolysis involved in protein catabolic process
Endothelial cell migration
Regulation of fibrinolysis
Regulation of collagen catabolic process
Negative regulation of extracellular matrix disassembly
Positive regulation of execution phase of apoptosis
Negative regulation of cell proliferation involved in contact inhibition
Melanocyte proliferation
Melanocyte apoptotic process
Negative regulation of extracellular matrix organization","Extracellular space
Cytoplasm
Extracellular region
Plasma membrane
Membrane
Cell projection
Lamellipodium
Anchoring junction
Cell surface
Focal adhesion
Ruffle membrane
Lamellipodium membrane
Apical part of cell
Basal part of cell
Peptidase complex",ENSG00000078098,fibroblast activation protein alpha,protein_coding
FARSA,"Atp binding
Trna binding
Nucleotide binding
Aminoacyl-trna ligase activity
Phenylalanine-trna ligase activity
Rna binding
Metal ion binding
Protein binding
Magnesium ion binding","Trna aminoacylation
Phenylalanyl-trna aminoacylation
Translation
Protein heterotetramerization","Cytoplasm
Membrane
Cytosol
Phenylalanine-trna ligase complex",ENSG00000179115,phenylalanyl-tRNA synthetase subunit alpha,protein_coding
